ri/rf	Mode_1	Mode_2	Mode_3	Mode_4	Mode_5
0.200000	0.007048	0.009090	0.010811	0.008072	0.006166
0.212500	0.007073	0.009191	0.010313	0.006590	0.004611
0.225000	0.007100	0.009241	0.009559	0.005208	0.003490
0.237500	0.007126	0.009215	0.008618	0.004046	0.002701
0.250000	0.007151	0.009100	0.007600	0.003120	0.002134
0.262500	0.007173	0.008882	0.006584	0.002410	0.001718
0.275000	0.007192	0.008565	0.005643	0.001875	0.001415
0.287500	0.007203	0.008161	0.004805	0.001474	0.001188
0.300000	0.007210	0.007689	0.004082	0.001177	0.001018
0.312500	0.007207	0.007168	0.003469	0.000945	0.000878
0.325000	0.007195	0.006627	0.002961	0.000772	0.000769
0.337500	0.007170	0.006077	0.002542	0.000635	0.000675
0.350000	0.007134	0.005539	0.002198	0.000529	0.000607
0.362500	0.007084	0.005020	0.001910	0.000444	0.000544
0.375000	0.007021	0.004532	0.001672	0.000375	0.000495
0.387500	0.006943	0.004073	0.001477	0.000319	0.000445
0.400000	0.006852	0.003652	0.001312	0.000275	0.000412
0.412500	0.006747	0.003265	0.001172	0.000237	0.000379
0.425000	0.006631	0.002914	0.001053	0.000205	0.000344
0.437500	0.006502	0.002594	0.000954	0.000179	0.000324
0.450000	0.006364	0.002307	0.000866	0.000156	0.000296
0.462500	0.006217	0.002049	0.000793	0.000137	0.000276
0.475000	0.006063	0.001818	0.000725	0.000120	0.000261
0.487500	0.005902	0.001612	0.000668	0.000105	0.000241
0.500000	0.005738	0.001427	0.000616	0.000093	0.000229
0.512500	0.005569	0.001263	0.000573	0.000082	0.000216
0.525000	0.005399	0.001117	0.000531	0.000072	0.000202
0.537500	0.005227	0.000987	0.000493	0.000064	0.000190
0.550000	0.005057	0.000871	0.000460	0.000056	0.000178
0.562500	0.004886	0.000769	0.000430	0.000049	0.000170
0.575000	0.004718	0.000677	0.000404	0.000043	0.000161
0.587500	0.004551	0.000596	0.000380	0.000038	0.000151
0.600000	0.004388	0.000524	0.000357	0.000033	0.000147
0.612500	0.004227	0.000460	0.000335	0.000029	0.000138
0.625000	0.004071	0.000403	0.000317	0.000025	0.000131
0.637500	0.003918	0.000352	0.000299	0.000021	0.000127
0.650000	0.003770	0.000307	0.000282	0.000019	0.000118
0.662500	0.003626	0.000267	0.000267	0.000016	0.000113
0.675000	0.003487	0.000232	0.000254	0.000013	0.000109
0.687500	0.003351	0.000201	0.000242	0.000011	0.000107
0.700000	0.003221	0.000173	0.000230	0.000009	0.000101
0.712500	0.003094	0.000148	0.000219	0.000007	0.000098
0.725000	0.002973	0.000126	0.000208	0.000006	0.000093
0.737500	0.002856	0.000107	0.000199	0.000005	0.000091
0.750000	0.002744	0.000089	0.000190	0.000004	0.000086
0.762500	0.002635	0.000074	0.000183	0.000003	0.000085
0.775000	0.002531	0.000061	0.000174	0.000002	0.000081
0.787500	0.002431	0.000050	0.000166	0.000001	0.000082
0.800000	0.002335	0.000040	0.000161	0.000001	0.000076
0.812500	0.002243	0.000031	0.000155	0.000000	0.000080
0.825000	0.002155	0.000024	0.000149	0.000000	0.000078
0.837500	0.002070	0.000017	0.000145	-0.000000	0.000072
0.850000	0.001989	0.000012	0.000140	0.000000	0.000075
0.862500	0.001911	0.000008	0.000141	0.000001	0.000074
0.875000	0.001837	0.000004	0.000140	0.000001	0.000105
0.887500	0.001765	0.000002	0.000136	0.000002	0.000046
0.900000	0.001698	0.000000	0.000153	0.000003	0.000058
0.912500	0.001632	0.000000	0.000125	0.000006	0.000066
0.925000	0.001571	0.000001	0.000127	0.000008	0.000072
0.937500	0.001510	0.000004	0.000135	0.000013	0.000073
0.950000	0.001455	0.000009	0.000137	0.000018	0.000000
0.962500	0.001399	0.000021	0.000146	0.000000	0.000000
0.975000	0.001352	0.000045	0.000105	0.000000	0.000000
0.987500	0.001311	0.000000	0.000000	0.000000	0.000000
