ri/rf	1/T₁₂(0)
0.200000	0.406469
0.212500	0.397857
0.225000	0.388991
0.237500	0.380111
0.250000	0.371370
0.262500	0.362767
0.275000	0.354456
0.287500	0.346300
0.300000	0.338509
0.312500	0.330849
0.325000	0.323492
0.337500	0.316307
0.350000	0.309412
0.362500	0.302619
0.375000	0.296086
0.387500	0.289629
0.400000	0.283385
0.412500	0.277168
0.425000	0.271080
0.437500	0.265034
0.450000	0.259099
0.462500	0.253214
0.475000	0.247425
0.487500	0.241624
0.500000	0.235946
0.512500	0.230318
0.525000	0.224769
0.537500	0.219256
0.550000	0.213865
0.562500	0.208533
0.575000	0.203286
0.587500	0.198139
0.600000	0.193073
0.612500	0.188094
0.625000	0.183239
0.637500	0.178456
0.650000	0.173782
0.662500	0.169213
0.675000	0.164765
0.687500	0.160379
0.700000	0.156139
0.712500	0.151962
0.725000	0.147917
0.737500	0.143957
0.750000	0.140130
0.762500	0.136364
0.775000	0.132735
0.787500	0.129163
0.800000	0.125730
0.812500	0.122367
0.825000	0.119127
0.837500	0.115948
0.850000	0.112897
0.862500	0.109896
0.875000	0.107047
0.887500	0.104213
0.900000	0.101529
0.912500	0.098872
0.925000	0.096368
0.937500	0.093864
0.950000	0.091545
0.962500	0.089189
0.975000	0.087164
0.987500	0.085244
