r [m]	R_1(r) [∛(1/m)] 		R_2(r) [∛(1/m)] 		R_3(r) [∛(1/m)] 		R_4(r) [∛(1/m)] 		R_5(r) [∛(1/m)] 		R_6(r) [∛(1/m)] 		R_7(r) [∛(1/m)] 		R_8(r) [∛(1/m)] 		R_9(r) [∛(1/m)] 		R_10(r) [∛(1/m)] 		R_11(r) [∛(1/m)] 		R_12(r) [∛(1/m)] 		R_13(r) [∛(1/m)] 		R_14(r) [∛(1/m)] 		R_15(r) [∛(1/m)] 		R_16(r) [∛(1/m)] 		R_17(r) [∛(1/m)] 		R_18(r) [∛(1/m)] 		R_19(r) [∛(1/m)] 		R_20(r) [∛(1/m)] 	
3.700000E-10 [ 1.21290537e+14  4.53553691e+14 -4.56106584e+14  4.96181942e+14
  5.33323558e+14 -2.45997002e+14  5.99190903e+14  6.33585753e+14
 -4.32510412e+14  6.53947846e+14 -6.14389605e+14  7.00617726e+14
 -6.67505538e+14  7.17291145e+14 -4.67234418e+14  7.46759938e+14
 -4.75180733e+14  7.56167927e+14 -6.17124830e+14  8.05457350e+14]
3.700015E-10 [ 1.21290537e+14  4.53553692e+14 -4.56106586e+14  4.96181947e+14
  5.33323567e+14 -2.45997013e+14  5.99190926e+14  6.33585784e+14
 -4.32510450e+14  6.53947900e+14 -6.14389673e+14  7.00617810e+14
 -6.67505641e+14  7.17291267e+14 -4.67234538e+14  7.46760105e+14
 -4.75180892e+14  7.56168147e+14 -6.17125063e+14  8.05457628e+14]
3.700032E-10 [ 1.21290537e+14  4.53553690e+14 -4.56106582e+14  4.96181938e+14
  5.33323551e+14 -2.45996993e+14  5.99190886e+14  6.33585729e+14
 -4.32510385e+14  6.53947805e+14 -6.14389554e+14  7.00617663e+14
 -6.67505462e+14  7.17291054e+14 -4.67234328e+14  7.46759813e+14
 -4.75180614e+14  7.56167762e+14 -6.17124657e+14  8.05457143e+14]
3.700053E-10 [ 1.21290538e+14  4.53553686e+14 -4.56106569e+14  4.96181910e+14
  5.33323502e+14 -2.45996935e+14  5.99190765e+14  6.33585562e+14
 -4.32510185e+14  6.53947513e+14 -6.14389190e+14  7.00617212e+14
 -6.67504913e+14  7.17290400e+14 -4.67233685e+14  7.46758918e+14
 -4.75179762e+14  7.56166581e+14 -6.17123411e+14  8.05455656e+14]
3.700075E-10 [ 1.21290538e+14  4.53553678e+14 -4.56106545e+14  4.96181858e+14
  5.33323409e+14 -2.45996826e+14  5.99190541e+14  6.33585250e+14
